Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
Taiwan,COFEE BERRIES MANOR,C211,COFEE BERRIES MANOR,,Taiwan Coffee Laboratory,1100,"Gukeng Township, Yunlin County","WANG, YING-HUI",1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,7.92,7.92,7.75,7.83,7.83,7.75,10.0,10.0,10.0,7.83,0.0,84.83,10.5 %,0 full defects,1,Green,5 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Indonesia,Andi Septiadi,329,Yes,,Andi Septiadi,1400,Indonesia,Andi Septiadi,1,50 kg,EKATA COFFEE CENTER,2024 / 2025,"October 13th, 2025",shameel,Other,Completed,Natural / Dry,7.92,7.92,7.75,8.17,7.5,7.67,10.0,10.0,10.0,7.92,0.0,84.83,11.6 %,0 full defects,0,yellow-green,1 full defects,,"October 13th, 2026",EKATA COFFEE CENTER,"321/1, SIRAGUNDA VILLAGE, KASABA HOBLI, MUGTHIHALLI, CHIKKAMAGALURU, KARNATAKA, 577101",Shameel CP // Vivek Kolathai - +919995959888. - +919746845248
Taiwan,珍富咖啡,C03,珍富咖啡,,Taiwan Coffee Laboratory,1300,嘉義/阿里山鄉,浦珍珠,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Purpurascens,Completed,Washed / Wet,7.83,7.92,7.83,7.83,7.67,7.83,10.0,10.0,10.0,7.92,0.0,84.83,11.4 %,0 full defects,0,Blue-Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Guatemala,Finca las Brisas y Anexos,11/63/890,Beneficio Seco (Patios),11/63/890,Asociación Nacional del Cafe,1500-1600,Huehuetenango,Hervin Gustavo Aguirre Velásquez,300,30 kg,Asociacion Nacional Del Café,2024 / 2025,"May 19th, 2025",Evelin Isabel Hernández Paxtor,Bourbon,Completed,Washed / Wet,7.83,7.92,7.67,7.92,7.75,7.83,10.0,10.0,10.0,7.92,0.0,84.83,11.1 %,0 full defects,0,Green,4 full defects,,"May 19th, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
Colombia,VARIOS,3-01-17559,"ALMACAFE ARMENIA, QUINDIO",3-01-17559,Federación de cafeteros de Colombia,1100 a 1800,QUINDIO,VARIOS,375,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"September 26th, 2025",Camilo Mosquera,,Completed,Washed / Wet,7.92,7.92,7.83,7.92,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.83,10.1 %,0 full defects,0,Green,4 full defects,,"September 26th, 2026",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
Brazil,Ofi - Olam Food Ingredients,S040263-5,Dry Mill,,Olam Specialty Coffee,1100,Cerrado,Ofi - Olam Food Ingredients,1600,96000 kg,Brazil Specialty Coffee Association,2025,"September 23rd, 2025",ADRYELLI CRISTINA SILVA,Catuai,Completed,Natural / Dry,7.67,7.75,7.67,8.0,7.92,7.75,10.0,10.0,10.0,8.08,0.0,84.83,11 %,0 full defects,0,Green,0 full defects,,"September 23rd, 2026",Brazil Specialty Coffee Association,"R Guilherme F Zanatelli - 121, Santa Luiza 121 BSCA - Comercio",Lyvia Camargo - 55 35 3212-4705
Guatemala,Los Quequezques,11/183/11,"Beneficio Santa Rita, S.A",11/183/11,Asociación Nacional del Cafe,1600-1800,San Juan Sacatepéquez,"Agroindustrial Magna, S.A",115,30 kg,Asociacion Nacional Del Café,2024 / 2025,"July 2nd, 2025",Evelin Isabel Hernández Paxtor,Sarchimor,Completed,Washed / Wet,7.83,8.0,7.67,7.75,7.83,7.83,10.0,10.0,10.0,7.83,0.0,84.75,11.2 %,0 full defects,1,Green,4 full defects,,"July 2nd, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
Taiwan,崁頭山紅楓咖啡(Kan Tou Mountain Coffee),2025臺南市國產精品咖啡評鑑批次,崁頭山紅楓咖啡(Kan Tou Mountain Coffee),,Taiwan Coffee Laboratory,750,"臺南市東山區 Dongshan Dist., Tainan City","郭俊宏 (Kuo,Jun-Hong)",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Pulped natural / honey,8.0,7.92,7.83,7.58,7.5,7.92,10.0,10.0,10.0,7.92,0.0,84.67,8.9 %,0 full defects,1,YELLOW-GREEN,0 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Thailand,Leepee coffee,500,แปรรูป,,เกษตรกร,1400,ภาคเหนือ,wet,20,25 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",อาโช พิสัยเลิศ,Catimor,Completed,Washed / Wet,7.67,7.75,7.67,7.92,7.83,7.92,10.0,10.0,10.0,7.92,0.0,84.67,11.5 %,0 full defects,0,Greenish,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Kenya,KAMUNDU ESTATE,SAS: 7425 AB TOP,Sasini Coffee Mill,,Sasini Plc,1800-2150,MT KENYA,SASINI PLC - KAMUNDU ESTATE,150,60 kg,Kenya Coffee Traders Association,2024 / 2025,"March 25th, 2025",Eric Gatheca Gitau,SL28,Completed,Washed / Wet,7.75,7.92,7.83,7.83,7.67,7.83,10.0,10.0,10.0,7.83,0.0,84.67,11 %,0 full defects,0,Green,5 full defects,,"March 25th, 2026",Kenya Coffee Traders Association,"P.O. Box 646 00100Nairobi, Kenya, Denniss Pritt Road, Opposite St Georges Girls Secondary School",Benson Kibicho Kamau - +254 786 821 621
Vietnam,LE DUC BINH,"Xary village, Huong Phung commune, Huong Hoa district, Quang Tri province",LE DUC BINH FARM,,SARY COOPERATIVE,700,"KHE SANH, QUẢNG TRỊ PROVICE",LE DUC BINH,1,2 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"July 14th, 2025",LÊ ĐỨC BÌNH,Catimor,Completed,Natural / Dry,8.17,7.75,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.83,0.0,84.58,11.9 %,0 full defects,0,Brownish,1 full defects,,"July 14th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Taiwan,泥妲咖啡Nita Coffee Manor,2025花蓮縣第九屆精品咖啡評鑑批次,泥妲咖啡Nita Coffee Manor,,Taiwan Coffee Laboratory,400,"Xiulin Township, Hualien County","戴豐秋DAI,FONG-CIOU",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,"Typica, Geisha",Completed,Natural / Dry,7.83,8.0,7.92,7.67,7.58,7.75,10.0,10.0,10.0,7.83,0.0,84.58,10.1 %,0 full defects,0,YELLOW GREEN,2 full defects,,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Vietnam,LANG BIANG COFFEE PROJECT,AW1,LANG BIANG COFFEE PROJECT,,Babros Coffee Works,1600,"Lac Duong, Lam Dong",YAMAOKA KIYOTAKA,30,30 kg,STONE VILLAGE LAB VIETNAM,2024 / 2025,"May 8th, 2025",BABROS COFFEE WORKS,Catimor,Completed,Anaerobic washed,8.08,7.83,7.67,8.0,7.58,7.67,10.0,10.0,10.0,7.75,0.0,84.58,12 %,0 full defects,0,Green,0 full defects,,"May 8th, 2026",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
Guatemala,Finca Peña Blanca y Anexos,11/951/889,Beneficio Las Americas,11/951/889,Asociación Nacional del Cafe,1500,Santa Rosa,Pablo Arturo Chuy Flores,250,35 kg,Asociacion Nacional Del Café,2024 / 2025,"May 27th, 2025",Evelin Isabel Hernández Paxtor,Catuai,Completed,Washed / Wet,7.58,7.83,7.67,7.92,7.75,7.92,10.0,10.0,10.0,7.83,0.0,84.5,10.6 %,0 full defects,5,greenish,10 full defects,,"May 27th, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
Taiwan,康家放山咖啡Kang Family Coffee Estate,2025花蓮縣第九屆精品咖啡評鑑批次,康家放山咖啡Kang Family Coffee Estate,,Taiwan Coffee Laboratory,200,"Ruisui Township, Hualien County","康振福KANG,JHEN-FU",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Caturra,Completed,Natural / Dry,7.92,7.75,7.75,7.75,7.67,7.83,10.0,10.0,10.0,7.83,0.0,84.5,11.1 %,0 full defects,0,YELLOW-GREEN,3 full defects,,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Thailand,SOFT Coffee,Honey Yeast,Mogojubean,,SOFT Coffee,1200-1300,Omkoi,Wish Junprasert,3,25 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Wish Junprasert,Catimor,Completed,Pulped natural / honey,7.75,8.0,7.42,7.92,7.83,7.75,10.0,10.0,10.0,7.83,0.0,84.5,10.7 %,0 full defects,0,Brownish,3 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Guatemala,Varias Fincas,2025.233.1,Varios Beneficios,11/15/292,Asociación Nacional del Cafe,1600,Huehuetenango,varios productores,600,30 kg,Asociacion Nacional Del Café,2024 / 2025,"May 2nd, 2025",Evelin Isabel Hernández Paxtor,Caturra,Completed,Washed / Wet,7.67,7.92,7.67,7.92,7.75,7.75,10.0,10.0,10.0,7.83,0.0,84.5,10.4 %,0 full defects,1,Greenish,1 full defects,,"May 2nd, 2026",Asociacion Nacional Del Café,"5a Calle 0-50, Zona 14 Guatemala City, Guatemala 1014",Byron Castillo - +502 47018080
Thailand,Doi Tung Development Project,DT2024/2025 Paraiso Honey Lot ICP,Doi Tung Development Project,,Mae Fah Luang Foundation,850,"Chiang Rai, Thailand",Doi Tung Development Project,1,30 kg,Specialty Coffee Institute of Thailand,2024 / 2025,"August 26th, 2025",Tanawit Thirintong,Paraiso,Completed,Pulped natural / honey,7.83,7.92,7.83,7.92,7.83,7.83,9.33,10.0,10.0,7.92,0.0,84.42,13.3 %,0 full defects,0,Greenish/Fresh,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Taiwan,COFEE BERRIES MANOR,C210,COFEE BERRIES MANOR,,Taiwan Coffee Laboratory,1100,"Gukeng Township, Yunlin County","WANG, YING-HUI",1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,8.0,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,0.0,84.42,10.2 %,0 full defects,1,Bluish-Green,5 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Brazil,Ofi - Olam Food Ingredients,S040263-2,Dry Mill,,Olam Specialty Coffee,1100,Cerrado,Ofi - Olam Food Ingredients,1600,96000 kg,Brazil Specialty Coffee Association,2025,"September 29th, 2025",ADRYELLI CRISTINA SILVA,Catuai,Completed,Natural / Dry,7.75,7.75,7.67,7.75,7.75,7.75,10.0,10.0,10.0,8.0,0.0,84.42,11.5 %,0 full defects,0,Green,2 full defects,,"September 29th, 2026",Brazil Specialty Coffee Association,"R Guilherme F Zanatelli - 121, Santa Luiza 121 BSCA - Comercio",Lyvia Camargo - 55 35 3212-4705
Taiwan,靜心恬咖啡莊園,902 Typica,益豐機械咖啡豆去皮脫殼機剝殼機兩用設備 100型,,靜心恬咖啡農莊,400,復興區義興部落,歐恩萍,1,5 kg,Blossom Valley International宸嶧國際,2024 / 2025,"March 19th, 2025",靜心恬咖啡農莊,Typica,Completed,Natural / Dry,7.92,7.92,7.83,7.58,7.75,7.67,10.0,10.0,10.0,7.67,0.0,84.33,10.2 %,0 full defects,0,yellow-Green,2 full defects,,"March 19th, 2026",Blossom Valley International宸嶧國際,No.72 Mo-Fan St. Taiwan Zip: 403,Damon Chen陳嘉峻 - +886423022323
Brazil,Ofi - Olam Food Ingredients,S040263-6,Dry Mill,,Olam Specialty Coffee,1100,Cerrado,Ofi - Olam Food Ingredients,1280,76800 kg,Brazil Specialty Coffee Association,2025,"September 22nd, 2025",ADRYELLI CRISTINA SILVA,Catuai,Completed,Natural / Dry,7.83,7.83,7.5,7.75,7.75,7.75,10.0,10.0,10.0,7.92,0.0,84.33,11 %,0 full defects,0,Green,2 full defects,,"September 22nd, 2026",Brazil Specialty Coffee Association,"R Guilherme F Zanatelli - 121, Santa Luiza 121 BSCA - Comercio",Lyvia Camargo - 55 35 3212-4705
Taiwan,高峰咖啡（Gaofeng Coffee）,2025臺南市國產精品咖啡評鑑批次,高峰咖啡（Gaofeng Coffee）,,Taiwan Coffee Laboratory,700,"臺南市東山區 Dongshan Dist., Tainan City","陳斐雯(Chen,Fei-Wen)",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,8.17,7.92,8.0,7.75,7.75,7.42,10.0,10.0,10.0,7.33,0.0,84.33,10.6 %,0 full defects,0,GREENISH,0 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,林鴻任,C07,林鴻任,,Taiwan Coffee Laboratory,1300,嘉義/阿里山鄉,林鴻任,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 26th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Bourbon,Completed,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.83,10.0,10.0,10.0,7.75,0.0,84.33,9 %,0 full defects,0,Blue-Green,0 full defects,,"September 26th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,富咖有機農場,C109,富咖有機農場,,Taiwan Coffee Laboratory,1200,"嘉義梅山, Meishan, Chiayi",楊仙美,1,2 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"September 18th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,SL34,Completed,Washed / Wet,7.75,7.75,7.75,7.75,7.75,7.75,10.0,10.0,10.0,7.75,0.0,84.25,10.3 %,0 full defects,0,Blue-Green,0 full defects,,"September 18th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Vietnam,Cơ sở sản xuất Cà phê Bana'A,A789,Cơ sở sản xuất Cà phê Bana'A,,banaa company,1330,Tu mơ rông - Kon Tum,Nguyễn Thị Thùy Anh,3000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",NGUYEN THI THUY ANH,THA1,Completed,Natural / Dry,7.83,7.75,7.75,7.83,7.58,7.67,10.0,10.0,10.0,7.83,0.0,84.25,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Taiwan,鄉庭有機咖啡莊園Siang-Ting Organic Farm,2025花蓮縣第九屆精品咖啡評鑑批次,鄉庭有機咖啡莊園Siang-Ting Organic Farm,,Taiwan Coffee Laboratory,150-170,"Shoufeng Township, Hualien County","張進義JHANG,JIN-YI",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Pulped natural / honey,7.83,7.67,7.83,7.67,7.67,7.75,10.0,10.0,10.0,7.83,0.0,84.25,11.3 %,0 full defects,0,GREENISH,0 full defects,,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Japan,kakamigaharafarm,2024-2025bourbon,same facility,,tyuubujimuki,34,gifu,tyuubujimuki,1,6 kg,Coffee Quality Union,2024 / 2025,"September 4th, 2025",中部事務機株式会社,Bourbon,Completed,anaerobic,7.75,7.83,7.75,7.75,7.67,7.75,10.0,10.0,10.0,7.75,0.0,84.25,11.4 %,0 full defects,0,Green,2 full defects,,"September 4th, 2026",Coffee Quality Union,3-24-9 Saiwai Otaru Hokkaido,Sakiko Kabeyama -
Taiwan,花蓮縣秀林鄉特用作物(咖啡產銷第一班)The first group of special use in Xiulin Township,2025花蓮縣第九屆精品咖啡評鑑批次,花蓮縣秀林鄉特用作物(咖啡產銷第一班)The first group of special use in Xiulin Township,,Taiwan Coffee Laboratory,200~400,"Xiulin Township, Hualien County","李志祥LI,JHIH-SIANG",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2025,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,7.67,7.83,7.67,7.92,7.67,7.67,10.0,10.0,10.0,7.83,0.0,84.25,10.2 %,0 full defects,0,YELLOW GREEN,1 full defects,,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Vietnam,Hợp tác xã Mộc Sa Farm,A561,Hợp tác xã Mộc Sa Farm,,Hợp tác xã Mộc Sa Farm,1050,"Xã Bản Lầm, Huyện Thuận Châu, Tỉnh Sơn La",Lương Trung Hiếu,20000,1 kg,HQJ Coffee School,2024 / 2025,"July 9th, 2025",Luong Trung Hieu,Catimor,Completed,Natural / Dry,7.75,7.67,7.67,7.83,7.92,7.75,10.0,10.0,10.0,7.67,0.0,84.25,11 %,0 full defects,0,Green,0 full defects,,"July 9th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
Taiwan,鄉庭有機咖啡莊園Siang-Ting Organic Farm,2025花蓮縣第九屆精品咖啡評鑑批次,鄉庭有機咖啡莊園Siang-Ting Organic Farm,,Taiwan Coffee Laboratory,150-170,"Shoufeng Township, Hualien County","張進義JHANG,JIN-YI",1,6 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024,"September 12th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Typica,Completed,Natural / Dry,7.58,7.92,7.67,7.67,7.83,7.67,10.0,10.0,10.0,7.83,0.0,84.17,11.9 %,0 full defects,0,GREENISH,0 full defects,,"September 12th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,金光明咖啡莊園,C107,金光明咖啡莊園,,Taiwan Coffee Laboratory,500,"南投水里, Shuili, Nantou",陳蒼輝,1,15 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2020 / 2021,"September 18th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Arabica,Completed,Pulped natural / honey,7.75,7.75,7.67,7.83,7.75,7.75,10.0,10.0,10.0,7.67,0.0,84.17,12 %,61 full defects,0,brownish pale,6 full defects,,"September 18th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Thailand,Cherdpong Village,1,100kg/hr,,Adnite Ltd.,1500-1600,Nan,Gochgorn Aswapromtada,1,8 kg,Specialty Coffee Institute of Thailand,2025,"August 26th, 2025",Gochgorn Aswapromtada,Java,Completed,Pulped natural / honey,7.67,7.92,7.92,7.58,7.58,7.75,10.0,10.0,10.0,7.75,0.0,84.17,10.2 %,0 full defects,0,Greenish,5 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Taiwan,瑞亦思．安咖啡莊園(Raise An Coffee Estate),2025臺南市國產精品咖啡評鑑批次,瑞亦思．安咖啡莊園(Raise An Coffee Estate),,Taiwan Coffee Laboratory,700,"臺南市東山區 Dongshan Dist., Tainan City","王中和(WANG,ZHONG-HAN)",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha+Yellow Bourbon,Completed,Pulped natural / honey,7.67,7.83,7.67,7.75,7.67,7.83,10.0,10.0,10.0,7.75,0.0,84.17,8.6 %,0 full defects,0,GREENISH,0 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
Taiwan,歐爸的咖啡園（Oppa’s Coffee Farm）,2025臺南市國產精品咖啡評鑑批次,歐爸的咖啡園（Oppa’s Coffee Farm）,,Taiwan Coffee Laboratory,500-600,"臺南市東山區 Dongshan Dist., Tainan City","歐宇倉(Ou,Yu-Tsang )",1,5 kg,Taiwan Coffee Laboratory 台灣咖啡研究室,2024 / 2025,"July 15th, 2025",Taiwan Coffee Laboratory 台灣咖啡研究室,Gesha,Completed,Washed / Wet,7.83,7.75,7.75,7.58,7.75,7.67,10.0,10.0,10.0,7.83,0.0,84.17,11.2 %,0 full defects,2,Green,0 full defects,,"July 15th, 2026",Taiwan Coffee Laboratory 台灣咖啡研究室,"QAHWAH CO., LTD 4F, No. 225, Sec. 3, Beixin Rd., Xindian Dist. New Taipei City, Taiwan","Lin, Jen-An Neil 林仁安 - 886-289116612"
China,The Nest Manor,SJ001,The Nest Manor Dry Mill,,The Nest Manor,1600,"Shuangjiang County, Lincang City, Yunnan Province, China",The Nest Manor,2,2 kg,Torch Coffee Company,2024 / 2025,"July 7th, 2025",Unnop Rattanasorn,Syrina,Completed,Dual Fermentation Honey,7.83,7.67,7.67,7.75,7.58,7.83,10.0,10.0,10.0,7.75,0.0,84.08,10.5 %,0 full defects,0,Blue,0 full defects,,"July 7th, 2026",Torch Coffee Company,云南省普洱市88龙生路公园1号108栋234室炬点咖啡实验室 T Torch Coffee Lab 88 Long Shen Building 105 Suite 234 Rd  Pu'er Yunnan China,Marty Pollack - +86 18287988435
Colombia,VARIOS,3-01-17725,ALMACAFE POPAYAN,3-01-17725,Federación de cafeteros de Colombia,1500,CAUCA,VARIOS,375,70 kg,ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,2024 / 2025,"September 24th, 2025",Camilo Mosquera,VARIOS,Completed,Washed / Wet,7.75,7.75,7.58,7.83,7.58,7.83,10.0,10.0,10.0,7.75,0.0,84.08,10.6 %,0 full defects,0,Green,3 full defects,,"September 24th, 2026",ASOCIACIÓN COLOMBIANA PARA LA EXCELENCIA DEL CAFE,Calle 60A #3D-32 / Planta Baja / CQ Lab ASECC,Carlos Julian Ruiz - 3212026991
Thailand,Ethnic Coffee Mae Hong Son,1,"Mogojubean, Chiang Mai",,Ethnic Coffee Mae Hong Son,1534,"Mae Hong Son, Thailand",Piyamaporn Wanmanee,1,36 kg,Specialty Coffee Institute of Thailand,2025,"August 26th, 2025",Piyamaporn Wanmanee,Bourbon,Completed,Pulped natural / honey,7.67,7.67,7.75,7.83,7.75,7.67,10.0,10.0,10.0,7.75,0.0,84.08,11.4 %,0 full defects,0,Yellowish,0 full defects,,"August 26th, 2026",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
Brazil,Ofi - Olam Food Ingredients,S040263-4,Dry Mill,,Olam Specialty Coffee,1100,Cerrado,Ofi - Olam Food Ingredients,1600,96000 kg,Brazil Specialty Coffee Association,2025,"September 22nd, 2025",ADRYELLI CRISTINA SILVA,Catuai,Completed,Natural / Dry,7.67,7.75,7.67,7.83,7.67,7.67,10.0,10.0,10.0,7.83,0.0,84.08,11.3 %,0 full defects,0,Green,1 full defects,,"September 22nd, 2026",Brazil Specialty Coffee Association,"R Guilherme F Zanatelli - 121, Santa Luiza 121 BSCA - Comercio",Lyvia Camargo - 55 35 3212-4705
